epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.19321,1.68833,3.59216,1.11648,0.00333,0.03817,0.00175,0.00083,1.39072,3.61391,1.19673,6e-05,6e-05,6e-05
2,2.19231,1.61046,3.4606,1.06558,0.01067,0.12214,0.00615,0.00302,1.27196,3.57029,1.06791,0.000138614,0.000138614,0.000138614
3,3.17381,1.50314,2.80744,0.97362,0.05667,0.64885,0.07208,0.04123,1.20416,3.26425,0.94383,0.000215644,0.000215644,0.000215644
4,4.23327,1.56787,1.92227,0.95575,0.6375,0.52357,0.54865,0.27864,1.37261,2.78686,0.94399,0.00029109,0.00029109,0.00029109
5,5.33981,1.56524,1.44444,0.94628,0.7502,0.41985,0.60811,0.32193,1.34761,2.63594,0.93745,0.000364952,0.000364952,0.000364952
6,6.23212,1.48658,1.29933,0.93629,0.78628,0.30897,0.60171,0.32071,1.3113,2.43971,0.92796,0.00043723,0.00043723,0.00043723
7,7.13037,1.4984,1.20374,0.95041,0.7322,0.24427,0.5171,0.26962,1.39267,2.32112,0.95326,0.000507924,0.000507924,0.000507924
8,8.04436,1.43214,1.13173,0.9319,0.63894,0.31298,0.54242,0.28481,1.41091,2.12025,0.97156,0.000577034,0.000577034,0.000577034
9,8.96307,1.43241,1.07145,0.9402,0.59547,0.55725,0.61109,0.36924,1.31951,1.83561,0.96482,0.00064456,0.00064456,0.00064456
10,9.86631,1.41601,1.03213,0.94221,0.58436,0.66412,0.62272,0.38252,1.31234,1.58134,0.98019,0.000710502,0.000710502,0.000710502
11,10.7358,1.45578,1.03991,0.96144,0.5889,0.69466,0.63625,0.38147,1.37193,1.48038,0.99526,0.00077486,0.00077486,0.00077486
12,11.6564,1.42086,1.01961,0.9337,0.60438,0.73282,0.67154,0.42569,1.28232,1.38195,0.98403,0.000837634,0.000837634,0.000837634
13,12.5569,1.38469,0.99075,0.94683,0.61011,0.74809,0.67039,0.42722,1.30492,1.30031,0.97463,0.000898824,0.000898824,0.000898824
14,13.4916,1.39843,0.97925,0.92302,0.6231,0.74809,0.67228,0.42926,1.30259,1.2805,0.97552,0.00095843,0.00095843,0.00095843
15,14.4142,1.33982,0.93565,0.92631,0.5934,0.72519,0.64736,0.42797,1.21052,1.18929,0.9634,0.00101645,0.00101645,0.00101645
16,15.3065,1.33648,0.93674,0.92776,0.52493,0.80153,0.63124,0.41159,1.27486,1.20466,0.96822,0.00107289,0.00107289,0.00107289
17,16.2251,1.40613,0.96128,0.92742,0.51584,0.85398,0.61602,0.40609,1.27821,1.20362,0.97833,0.00112774,0.00112774,0.00112774
18,17.1357,1.40153,0.96267,0.92892,0.5089,0.80153,0.62935,0.39668,1.25573,1.19394,0.96318,0.00118101,0.00118101,0.00118101
19,18.0516,1.38782,0.94488,0.92669,0.51793,0.82015,0.64074,0.43512,1.18199,1.1612,0.95972,0.0012327,0.0012327,0.0012327
20,18.9756,1.3653,0.92168,0.92983,0.50821,0.82041,0.63482,0.4317,1.20821,1.14504,0.9645,0.0012828,0.0012828,0.0012828
21,19.9119,1.39239,0.94563,0.93852,0.5432,0.73528,0.63521,0.4081,1.2457,1.18601,0.95488,0.00133132,0.00133132,0.00133132
22,20.8128,1.29918,0.91606,0.92233,0.57619,0.72647,0.63257,0.40832,1.23751,1.20075,0.96243,0.00137825,0.00137825,0.00137825
23,21.704,1.34537,0.89647,0.926,0.59613,0.72519,0.6315,0.43143,1.16531,1.18517,0.95013,0.0014236,0.0014236,0.0014236
24,22.6008,1.32458,0.91966,0.93188,0.58255,0.73505,0.64814,0.42509,1.23441,1.14938,0.95272,0.00146737,0.00146737,0.00146737
25,23.4722,1.36145,0.89721,0.92527,0.59115,0.72519,0.66693,0.42871,1.22374,1.12474,0.94804,0.00150955,0.00150955,0.00150955
26,24.3652,1.32581,0.89142,0.92665,0.61522,0.68702,0.67216,0.45237,1.13775,1.09448,0.94267,0.001505,0.001505,0.001505
27,25.2955,1.32227,0.87427,0.91452,0.62242,0.64885,0.68878,0.44776,1.16299,1.07776,0.95614,0.0014852,0.0014852,0.0014852
28,26.1668,1.28894,0.86193,0.91455,0.51802,0.80916,0.67426,0.41971,1.18048,1.08127,0.96383,0.0014654,0.0014654,0.0014654
29,27.072,1.28599,0.85359,0.90892,0.57678,0.72823,0.66973,0.42221,1.18178,1.08177,0.96899,0.0014456,0.0014456,0.0014456
30,28.0834,1.27441,0.85005,0.91326,0.58603,0.72519,0.63613,0.4161,1.17796,1.08424,0.983,0.0014258,0.0014258,0.0014258
31,28.9889,1.27952,0.84711,0.90997,0.54643,0.77099,0.63295,0.40062,1.19863,1.10051,0.97372,0.001406,0.001406,0.001406
32,29.9104,1.33948,0.86074,0.91531,0.54577,0.75573,0.6056,0.40115,1.16325,1.11123,0.96389,0.0013862,0.0013862,0.0013862
33,30.8158,1.28619,0.84419,0.91213,0.54147,0.75573,0.57281,0.3926,1.07991,1.11442,0.95333,0.0013664,0.0013664,0.0013664
34,31.7068,1.28946,0.8308,0.90806,0.51973,0.80129,0.56652,0.38685,1.11045,1.1341,0.96201,0.0013466,0.0013466,0.0013466
35,32.64,1.30217,0.81214,0.91087,0.50339,0.82443,0.57489,0.38188,1.12477,1.14418,0.95848,0.0013268,0.0013268,0.0013268
36,33.6,1.2373,0.82263,0.90875,0.5161,0.84733,0.58655,0.38667,1.16685,1.13336,0.96193,0.001307,0.001307,0.001307
37,34.5879,1.26801,0.81273,0.91321,0.52082,0.80916,0.58567,0.38955,1.13436,1.10558,0.95243,0.0012872,0.0012872,0.0012872
38,35.4807,1.25753,0.84706,0.91008,0.51898,0.79891,0.59329,0.41182,1.09554,1.0854,0.94821,0.0012674,0.0012674,0.0012674
39,36.3883,1.23306,0.80873,0.90685,0.50115,0.79756,0.61386,0.41975,1.11661,1.07672,0.94558,0.0012476,0.0012476,0.0012476
40,37.2518,1.20818,0.78412,0.90724,0.50187,0.82293,0.62021,0.41668,1.12706,1.06669,0.94871,0.0012278,0.0012278,0.0012278
41,38.122,1.21321,0.81924,0.91069,0.50672,0.82443,0.61339,0.41244,1.14426,1.0657,0.957,0.001208,0.001208,0.001208
42,39.0333,1.22501,0.78675,0.89862,0.57603,0.69466,0.59187,0.40943,1.08547,1.08897,0.94051,0.0011882,0.0011882,0.0011882
43,39.9725,1.19658,0.78412,0.89296,0.54355,0.77099,0.57738,0.37491,1.16587,1.14572,0.94578,0.0011684,0.0011684,0.0011684
44,40.8547,1.21578,0.81131,0.90362,0.55436,0.77099,0.60312,0.3766,1.23656,1.15437,0.95749,0.0011486,0.0011486,0.0011486
45,41.7738,1.185,0.78283,0.89544,0.5623,0.76492,0.62061,0.39322,1.19733,1.15095,0.96465,0.0011288,0.0011288,0.0011288
46,42.6869,1.16927,0.76139,0.89488,0.56232,0.76336,0.63012,0.41072,1.16629,1.14053,0.96298,0.001109,0.001109,0.001109
47,43.6056,1.18403,0.76233,0.8962,0.53188,0.82443,0.65054,0.40627,1.22339,1.15676,0.96077,0.0010892,0.0010892,0.0010892
48,44.4881,1.16747,0.75395,0.90041,0.54992,0.76336,0.65581,0.40387,1.28837,1.13789,0.95271,0.0010694,0.0010694,0.0010694
49,45.3914,1.21235,0.76335,0.89389,0.5228,0.78626,0.63937,0.40588,1.23245,1.13966,0.95601,0.0010496,0.0010496,0.0010496
50,46.3307,1.19758,0.74906,0.89137,0.50527,0.76336,0.61329,0.38995,1.20474,1.14781,0.97661,0.0010298,0.0010298,0.0010298
51,47.2134,1.18183,0.75386,0.88517,0.50962,0.73779,0.57178,0.36735,1.17035,1.15692,0.97571,0.00101,0.00101,0.00101
52,48.103,1.19281,0.76601,0.89662,0.52277,0.75258,0.6011,0.39537,1.16724,1.11555,0.9587,0.0009902,0.0009902,0.0009902
53,48.9722,1.21066,0.74339,0.88675,0.54656,0.76372,0.61533,0.39969,1.18865,1.1188,0.96617,0.0009704,0.0009704,0.0009704
54,49.8841,1.19939,0.74542,0.89486,0.53635,0.77099,0.60919,0.40657,1.18252,1.13168,0.96502,0.0009506,0.0009506,0.0009506
55,50.7824,1.19537,0.74548,0.90348,0.54326,0.75361,0.62709,0.41222,1.15555,1.11821,0.95435,0.0009308,0.0009308,0.0009308
56,51.6975,1.18046,0.74293,0.89184,0.53071,0.75573,0.60791,0.40729,1.10308,1.12455,0.94608,0.000911,0.000911,0.000911
57,52.5692,1.17105,0.73273,0.89351,0.5212,0.77863,0.60131,0.3961,1.10626,1.12143,0.94388,0.0008912,0.0008912,0.0008912
58,53.4545,1.09978,0.72223,0.88292,0.51958,0.80907,0.6032,0.40344,1.09507,1.13457,0.94366,0.0008714,0.0008714,0.0008714
59,54.3549,1.14761,0.73594,0.88111,0.50447,0.80153,0.61408,0.42096,1.08958,1.12692,0.93953,0.0008516,0.0008516,0.0008516
60,55.2327,1.12304,0.71751,0.87842,0.50021,0.79389,0.63442,0.44313,1.08657,1.11883,0.94132,0.0008318,0.0008318,0.0008318
61,56.1506,1.15469,0.71457,0.88548,0.52939,0.73849,0.63815,0.43695,1.08468,1.13377,0.93579,0.000812,0.000812,0.000812
62,57.0602,1.14712,0.74842,0.90508,0.53239,0.70229,0.61921,0.42111,1.10972,1.19308,0.94422,0.0007922,0.0007922,0.0007922
63,57.9495,1.13837,0.72204,0.88425,0.51587,0.68702,0.59824,0.41517,1.12274,1.23858,0.94837,0.0007724,0.0007724,0.0007724
64,58.8853,1.17557,0.73145,0.88584,0.52776,0.73282,0.60219,0.42071,1.08673,1.20848,0.93956,0.0007526,0.0007526,0.0007526
65,59.7694,1.10808,0.7017,0.88007,0.5558,0.72591,0.62505,0.42175,1.09998,1.19358,0.94093,0.0007328,0.0007328,0.0007328
66,60.6913,1.11309,0.70492,0.88649,0.54709,0.72846,0.61427,0.41635,1.10381,1.21375,0.94511,0.000713,0.000713,0.000713
67,61.5932,1.12891,0.71714,0.88446,0.54253,0.72519,0.60271,0.41942,1.08502,1.25127,0.95067,0.0006932,0.0006932,0.0006932
68,62.4731,1.10647,0.69888,0.88319,0.53105,0.74046,0.5915,0.41154,1.08557,1.26666,0.94483,0.0006734,0.0006734,0.0006734
69,63.3492,1.11386,0.69725,0.87487,0.52723,0.75573,0.58943,0.40568,1.09347,1.28678,0.93229,0.0006536,0.0006536,0.0006536
70,64.2135,1.14332,0.71323,0.88107,0.52127,0.7564,0.57527,0.39855,1.07412,1.28347,0.93005,0.0006338,0.0006338,0.0006338
71,65.1115,1.11956,0.71457,0.89085,0.57863,0.67088,0.57096,0.39505,1.07903,1.30056,0.94148,0.000614,0.000614,0.000614
72,65.9785,1.08654,0.68046,0.87455,0.50561,0.75573,0.56875,0.38796,1.11738,1.26572,0.94842,0.0005942,0.0005942,0.0005942
73,66.8723,1.1043,0.68661,0.87474,0.55814,0.67498,0.56897,0.37296,1.1868,1.27756,0.946,0.0005744,0.0005744,0.0005744
74,67.7556,1.11841,0.69211,0.8704,0.55981,0.699,0.57985,0.36685,1.24509,1.26343,0.94698,0.0005546,0.0005546,0.0005546
75,68.6677,1.09749,0.6869,0.86563,0.56362,0.68702,0.58205,0.38246,1.19205,1.23868,0.94493,0.0005348,0.0005348,0.0005348
76,69.6094,1.12859,0.70536,0.86933,0.50522,0.76389,0.56854,0.40141,1.11144,1.2262,0.94651,0.000515,0.000515,0.000515
